,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2199,2015,"KINDER MORGAN LIQUID TERMINALS, LLC",40.523327,-74.256013,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,40.52253,-74.254623,0.99,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.2
2291,2015,"KINDER MORGAN LIQUID TERMINALS, LLC",40.52243,-74.25384,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,8.98,0.0,8.98,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.52253,-74.254623,1.0,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2298,2015,"BUCKEYE PARTNERS, LP",40.609444,-74.240278,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,4.76,0.0,4.76,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.609437,-74.240886,1.0,rooftop,1301,Lower Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2326,2015,"KINDER MORGAN LIQUID TERMINALS, LLC",40.52243,-74.25384,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.79,0.0,1.79,NO,,NO,,YES,CARBON STEEL,OTHER,,40.52253,-74.254623,1.0,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2344,2015,COLONIAL PIPELINE CO,40.57667,-74.25472,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,0.0,0.1,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,40.576544,-74.256388,0.97,nearest_street,243,Blair Rd,,,Avenel,NJ,Middlesex County,7001,US,TIGER/Line® dataset from the US Census Bureau,0.0
2357,2015,"KINDER MORGAN LIQUID TERMINALS, LLC",40.589,-74.217,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,3.57,0.0,3.57,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,40.586904,-74.217205,0.96,nearest_street,11,Beverly St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,0.0
2393,2015,"BUCKEYE PARTNERS, LP",40.535833,-74.256944,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.59,0.0,0.59,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,40.536837,-74.261952,0.95,nearest_street,1280,State St,,,Perth Amboy,NJ,Middlesex County,8861,US,TIGER/Line® dataset from the US Census Bureau,0.0
2459,2015,"BUCKEYE PARTNERS, LP",40.609164,-74.239114,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.21,0.0,0.21,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,40.609437,-74.240886,0.99,rooftop,1301,Lower Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2497,2015,"BUCKEYE PARTNERS, LP",40.608328,-74.240044,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.01,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,40.609437,-74.240886,0.99,rooftop,1301,Lower Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.01
2514,2015,"BUCKEYE PARTNERS, LP",40.535033,-74.260967,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,40.53594,-74.261076,0.99,rooftop,1210,State St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2536,2015,"BUCKEYE PARTNERS, LP",40.6017,-74.260967,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,40.602093,-74.261225,1.0,rooftop,876,Hart St,,,Rahway,NJ,Union County,7065,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2571,2015,"KINDER MORGAN LIQUID TERMINALS, LLC",40.52243,-74.25384,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.0,0.0,1.9,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.52253,-74.254623,1.0,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.10000000000000009
2577,2014,"KINDER MORGAN LIQUID TERMINALS, LLC",40.52243,-74.25384,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,100.0,0.0,99.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.52253,-74.254623,1.0,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",1.0
