,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2122,2015,"SHELL PIPELINE CO., L.P.",38.0251564,-122.1292343,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.95,0,0.48,NO,,NO,,NO,CARBON STEEL,OTHER,,38.021777,-122.12823,0.95,nearest_street,1600,Marina Vista Ave,,,Martinez,CA,Contra Costa County,94553,US,TIGER/Line® dataset from the US Census Bureau,0.47
2126,2015,"SHELL PIPELINE CO., L.P.",35.0614452,-119.0635177,CRUDE OIL,4.93,0,4.93,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,35.061075,-119.062667,0.99,rooftop,11100,166 Hwy,,,Bakersfield,CA,Kern County,93313,US,Kern,0
2127,2015,CRIMSON PIPELINE L.P.,34.263642,-119.042773,CRUDE OIL,211,0,210,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,34.263722,-119.043129,0.99,nearest_street,1656,E Los Angeles Ave,,,Somis,CA,Ventura County,93066,US,TIGER/Line® dataset from the US Census Bureau,1
2161,2015,"SHELL PIPELINE CO., L.P.",37.75134722,-121.5874583,CRUDE OIL,2,0,2,NO,,NO,,NO,CARBON STEEL,OTHER,,37.747005,-121.582871,0.94,nearest_street,16399,W Grant Line Rd,,,Livermore,CA,Alameda County,94550,US,TIGER/Line® dataset from the US Census Bureau,0
2214,2015,CALNEV PIPELINE CO,35.276957,-116.021774,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,0,0.2,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,35.276957,-116.021774,0.16,nearest_place,,,,,Baker,CA,San Bernardino County,92309,US,TIGER/Line® dataset from the US Census Bureau,0
2220,2015,PHILLIPS 66 PIPELINE LLC,34.99659,-120.45123,CRUDE OIL,72,0,72,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,34.996235,-120.453682,0.96,nearest_street,1195,Riverside Rd,,,Nipomo,CA,San Luis Obispo County,93444,US,TIGER/Line® dataset from the US Census Bureau,0
2222,2015,PHILLIPS 66 PIPELINE LLC,35.10335,-119.45596,CRUDE OIL,16.5,0,16.5,NO,,NO,,YES,CARBON STEEL,OTHER,,35.099563,-119.448444,0.93,nearest_street,28874,Hovey Hills Rd,,,Maricopa,CA,Kern County,93252,US,TIGER/Line® dataset from the US Census Bureau,0
2235,2015,CRIMSON PIPELINE L.P.,34.238949,-118.965453,CRUDE OIL,24,0,23.4,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,34.239146,-118.965269,1,rooftop,1860,Tuscan Grove Pl,,,Camarillo,CA,Ventura County,93012,US,Ventura,0.600000000000001
2239,2015,"SHELL PIPELINE CO., L.P.",37.72575,-121.55485,CRUDE OIL,900,0,800,NO,,NO,,YES,CARBON STEEL,RUPTURE,,37.72456,-121.553662,0.99,rooftop,20067,W Patterson Pass Rd,,,Tracy,CA,San Joaquin County,95377,US,San Joaquin,100
2240,2015,TESORO LOGISTICS OPERATIONS LLC - SOUTHERN CALIFORNIA,33.771038,-118.225012,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,70,0,70,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,33.774217,-118.226452,0.95,nearest_street,1898,Pier B St,,,Long Beach,CA,Los Angeles County,90813,US,TIGER/Line® dataset from the US Census Bureau,0
