,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2570,2015,ENTERPRISE CRUDE PIPELINE LLC,35.940253,-96.747933,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,35.942194,-96.748142,0.96,nearest_street,2225,Texaco Rd Ew 74,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2581,2014,"MAGELLAN TERMINALS HOLDINGS, LP",35.92612,-96.7459,CRUDE OIL,6.0,0.0,6.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,35.927689,-96.741903,0.95,nearest_street,351267,E0750 Rd,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2609,2014,"ONEOK NGL PIPELINE, LLC",34.462837,-97.688497,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.24,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,34.462837,-97.688497,0.42,nearest_place,,,,,Velma,OK,Stephens County,73491,US,TIGER/Line® dataset from the US Census Bureau,0.24
2613,2014,EXPLORER PIPELINE CO,35.97916323,-96.00824525,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,0.0,0.2,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,35.979297,-96.011476,0.98,nearest_street,,US 75,,,Tulsa,OK,Tulsa County,74136,US,TIGER/Line® dataset from the US Census Bureau,0.0
2618,2014,"MAGELLAN PIPELINE COMPANY, LP",36.41801,-97.81118,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,13.0,0.0,13.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,36.418677,-97.81084,1.0,rooftop,4701,E Willow Rd,,,Enid,OK,Garfield County,73701,US,Garfield County G,0.0
2620,2014,"PLAINS MARKETING, L.P.",35.936666,-96.745218,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,35.942194,-96.743324,0.94,nearest_street,2237,Texaco Rd Ew 74,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2626,2014,"PLAINS PIPELINE, L.P.",34.48407,-97.547686,CRUDE OIL,30.0,0.0,30.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,34.484034,-97.547696,1.0,rooftop,6937,Shamrock Rd,,,Tussy,OK,Carter County,73488,US,"Kern, Cleveland, Canadian, Logan Counties",0.0
2640,2014,SUNOCO PIPELINE L.P.,36.04031,-97.91048,CRUDE OIL,15.0,0.0,15.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,36.04031,-97.91048,0.12,nearest_place,,,,,Dover,OK,Kingfisher County,73734,US,TIGER/Line® dataset from the US Census Bureau,0.0
2641,2014,ROSE ROCK MIDSTREAM L.P.,35.982628,-96.764171,CRUDE OIL,2.0,0.0,1.0,NO,,NO,,YES,,LEAK,OTHER,35.982535,-96.763097,0.98,nearest_street,348,N Thompson Ave,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,1.0
2659,2014,SUNOCO PIPELINE L.P.,34.87656,-97.79842,CRUDE OIL,1.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,34.87656,-97.79842,0.18,nearest_place,,,,,Alex,OK,Grady County,73002,US,TIGER/Line® dataset from the US Census Bureau,1.0
2670,2014,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.94373,-96.76142,CRUDE OIL,8.9,0.0,8.9,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,35.953157,-96.767384,0.91,nearest_street,2698,S Little Ave,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2674,2014,"JP ENERGY MARKETING, LLC",34.5530703,-97.403032,CRUDE OIL,115.0,0.0,95.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OVERFILL OR OVERFLOW,,34.550457,-97.400824,0.95,nearest_street,25249,E1700 Rd,,,Elmore City,OK,Garvin County,73433,US,TIGER/Line® dataset from the US Census Bureau,20.0
2701,2014,"ONEOK NGL PIPELINE, LLC",35.347873,-98.091935,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.4,0.0,0.0,NO,,NO,,,,LEAK,CRACK,35.348676,-98.095745,0.95,nearest_street,14198,N2750 Rd,,,Minco,OK,Grady County,73059,US,TIGER/Line® dataset from the US Census Bureau,3.4
2715,2014,"MAGELLAN TERMINALS HOLDINGS, LP",35.94745,-96.74214,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,NO,,LEAK,SEAL OR PACKING,35.946937,-96.749211,0.94,nearest_street,3004,N3510 Rd,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2719,2014,"ONEOK NGL PIPELINE, LLC",36.773611,-97.756389,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,52.0,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,36.773611,-97.756389,0.06,nearest_place,,,,,Medford,OK,Grant County,73759,US,TIGER/Line® dataset from the US Census Bureau,52.0
2721,2014,PHILLIPS 66 PIPELINE LLC,35.943703,-96.754623,CRUDE OIL,0.17,0.0,0.17,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,35.944158,-96.749213,0.94,nearest_street,3098,S Linwood Ave,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
