IYEAR,NAME,OPERATOR_CITY_NAME,OPERATOR_STATE_ABBREVIATION,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE
2021,EXPLORER PIPELINE CO,TULSA,OK,29.816358,-95.179689,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.3,,0.3,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING
2021,EXXONMOBIL PIPELINE CO,SPRING,TX,27.9172117,-94.7844572,CRUDE OIL,3,,3,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER
2021,"EPIC CONSOLIDATED OPERATIONS, LLC",SAN ANTONIO,TX,27.8272,-97.6163472,CRUDE OIL,0.32,,0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK
2021,"NUSTAR LOGISTICS, L.P.",SAN ANTONIO,TX,34.2022,-97.34698,CRUDE OIL,4,,4,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE
2021,"EPIC CONSOLIDATED OPERATIONS, LLC",SAN ANTONIO,TX,29.1754167,-100.330638,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5628,2014,186,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK
2021,SUNOCO PIPELINE L.P.,HOUSTON,TX,32.73665,-99.82082,CRUDE OIL,195,,195,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE
2021,HARVEST MIDSTREAM COMPANY,HOUSTON,TX,28.501742,-98.855826,CRUDE OIL,15,,15,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE
2021,"FRONTIER MIDSTREAM SOLUTIONS IV,  LLC",TULSA ,OK,32.0877,-102.0307,CRUDE OIL,1.5,,1.5,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER
2021,"MAGELLAN PIPELINE COMPANY, LP",TULSA,OK,30.350864,-95.899305,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.88,,0.88,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK
2021,EXPLORER PIPELINE CO,TULSA,OK,29.900874,-94.005656,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.6,,0.6,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,29.7594,-95.1425,CRUDE OIL,1,,1,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING
2021,"TEXOMA CRUDE OIL PIPELINE CO., LLC",DENVER,CO,34.237801,-97.493738,CRUDE OIL,50,,50,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,29.82619,-94.88545,CRUDE OIL,2,,2,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE
2021,"CCPS TRANSPORTATION, LLC",HOUSTON,TX,40.943094,-88.644964,CRUDE OIL,0.95,,0.95,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE
2021,"SHELL PIPELINE CO., L.P.",HOUSTON,TX,29.716064,-95.187128,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,,0.5,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE
2021,"MAGELLAN TERMINALS HOLDINGS, LP",TULSA,OK,29.7460223,-95.20283238,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.6,,0.6,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE
2021,COLONIAL PIPELINE CO,ALPHARETTA,GA,30.711073,-91.281434,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.7,,1.7,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK
2021,PHILLIPS 66 PIPELINE LLC,HOUSTON,TX,29.999096,-93.983862,CRUDE OIL,0.12,,0.12,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
